# Standard Solar Model [BP98, Phys. Lett. B, 433 (1998) 1-8]
#
# Columns in the Standard Model table (below) represent:
#
# 1)  Mass fraction in units of the solar mass
# 2)  Radius of the zone in units of one solar radius
# 3)  Temperature in units of deg (K)
# 4)  Density in units of g/cm^3
# 5)  Pressure in units of dyn/cm^2
# 6)  Luminosity fraction in units of the solar luminosity
# 7)  X(^1H): the hydrogen mass fraction
# 8)  X(^4He): the helium 4 mass fraction
# 9)  X(^3He): the helium 3 mass fraction
# 10) X(^12C): the carbon 12 mass fraction
# 11) X(^14N): the nitrogen 14 mass fraction
# 12) X(^16O): the oxygen 16 mass fraction
#
# The Table begins here.
# 
0.0649220  0.09385  1.334E+07  9.180E+01  1.426E+17  0.40211  0.52320  0.45596  3.77E-05  1.70E-05  5.31E-03  1.00E-02
0.0693353  0.09637  1.325E+07  8.989E+01  1.394E+17  0.42211  0.52953  0.44964  4.01E-05  1.67E-05  5.30E-03  1.00E-02
0.0739027  0.09890  1.315E+07  8.800E+01  1.361E+17  0.44212  0.53579  0.44340  4.26E-05  1.64E-05  5.29E-03  9.99E-03
0.0786339  0.10144  1.305E+07  8.613E+01  1.329E+17  0.46212  0.54198  0.43722  4.54E-05  1.61E-05  5.29E-03  9.99E-03
0.0835401  0.10401  1.294E+07  8.428E+01  1.297E+17  0.48213  0.54810  0.43111  4.83E-05  1.59E-05  5.28E-03  9.98E-03
0.0886337  0.10659  1.284E+07  8.243E+01  1.265E+17  0.50214  0.55416  0.42506  5.14E-05  1.56E-05  5.28E-03  9.97E-03
0.0939286  0.10922  1.274E+07  8.060E+01  1.234E+17  0.52214  0.56017  0.41907  5.49E-05  1.53E-05  5.27E-03  9.97E-03
0.0994405  0.11187  1.263E+07  7.878E+01  1.202E+17  0.54215  0.56613  0.41312  5.85E-05  1.50E-05  5.27E-03  9.96E-03
0.1051873  0.11458  1.252E+07  7.696E+01  1.170E+17  0.56216  0.57204  0.40722  6.26E-05  1.47E-05  5.26E-03  9.96E-03
0.1111891  0.11734  1.242E+07  7.513E+01  1.137E+17  0.58218  0.57791  0.40135  6.69E-05  1.45E-05  5.26E-03  9.95E-03
